"site","date","survey_time","start_time","end_time","duration_min","time_of_capture","species_capture","capture_type","life_stage","sex","snout_vent_length","body_mass"
rv pond,2022-06-08,night,"21:11:00","22:02:00","51","21:41:00",rana catesbeiana,new,adult,female,73.3,49.1
rv pond,2022-06-08,night,"21:11:00","22:02:00","51","21:52:00",hyla versicolor,,adult,male,43.6,5.5
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","21:51:00",rana catesbeiana,new,juvenile,unknown,56.1,15.7
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","22:04:00",hyla versicolor,,adult,male,46.3,8.95
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","22:08:00",rana catesbeiana,new,juvenile,unknown,48.6,9.5
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","22:41:00",hyla versicolor,,adult,male,43.5,7.2
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","22:46:00",rana clamitans,,adult,female,83.1,55.3
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","23:11:00",rana clamitans,,adult,male,,
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","23:17:00",rana clamitans,,adult,male,,
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","21:54:00",hyla versicolor,,adult,male,42.6,7.5
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","22:03:00",rana catesbeiana,new,adult,female,65.7,24.65
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","22:12:00",rana clamitans,,adult,male,64.7,26.7
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","22:22:00",rana catesbeiana,new,adult,female,131.1,200.0
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","22:31:00",rana clamitans,,adult,male,,
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","22:43:00",rana catesbeiana,new,adult,female,76.1,46.5
tuttle pond,2022-06-15,night,"21:58:00","23:32:00","94","22:13:00",hyla versicolor,new,adult,male,,
tuttle pond,2022-06-15,night,"21:58:00","23:32:00","94","22:16:00",rana catesbeiana,recapture,,,,
tuttle pond,2022-06-15,night,"21:58:00","23:32:00","94","22:27:00",rana catesbeiana,recapture,,,,
tuttle pond,2022-06-15,night,"21:58:00","23:32:00","94","22:19:00",hyla versicolor,new,adult,male,,
tuttle pond,2022-06-15,night,"21:58:00","23:32:00","94","22:35:00",rana catesbeiana,new,adult,female,62.8,28.3
tuttle pond,2022-06-15,night,"21:58:00","23:32:00","94","22:54:00",hyla versicolor,new,adult,male,,
tuttle pond,2022-06-15,night,"21:58:00","23:32:00","94","23:30:00",rana catesbeiana,new,juvenile,unknown,48.3,150.0
tuttle pond,2022-06-15,night,"21:58:00","23:32:00","94","22:14:00",hyla versicolor,new,adult,unknown,,
tuttle pond,2022-06-15,night,"21:58:00","23:32:00","94","22:20:00",rana catesbeiana,new,,,,
tuttle pond,2022-06-15,night,"21:58:00","23:32:00","94","22:28:00",rana catesbeiana,recapture,,,,
tuttle pond,2022-06-15,night,"21:58:00","23:32:00","94","22:53:00",rana catesbeiana,new,adult,female,68.0,38.8
tuttle pond,2022-06-15,night,"21:58:00","23:32:00","94","23:01:00",rana catesbeiana,new,juvenile,unknown,49.0,13.75
tuttle pond,2022-06-15,night,"21:58:00","23:32:00","94","23:17:00",rana catesbeiana,recapture,,,,
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","23:07:00",hyla versicolor,,adult,male,,
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","23:12:00",hyla versicolor,,adult,male,,
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","23:19:00",rana catesbeiana,new,adult,female,,200.0
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","23:25:00",rana catesbeiana,new,adult,female,79.0,52.1
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","21:50:00",rana clamitans,,adult,female,76.9,45.0
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","21:53:00",hyla versicolor,,adult,male,,
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","21:55:00",hyla versicolor,,adult,male,38.8,6.2
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","22:00:00",rana clamitans,,adult,male,,
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","22:03:00",rana catesbeiana,new,juvenile,unknown,51.8,15.15
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","22:10:00",rana catesbeiana,new,adult,male,94.1,104.0
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","22:27:00",rana clamitans,,adult,male,,
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","22:32:00",rana clamitans,,adult,male,,
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","22:41:00",rana catesbeiana,new,juvenile,unknown,50.8,12.75
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","22:43:00",rana catesbeiana,new,juvenile,unknown,66.2,23.0
tuttle pond,2022-06-15,night,"21:58:00","23:32:00","94","22:00:00",rana catesbeiana,recapture,,,,
tuttle pond,2022-06-15,night,"21:58:00","23:32:00","94","22:11:00",hyla versicolor,new,adult,male,,
tuttle pond,2022-06-15,night,"21:58:00","23:32:00","94","22:13:00",rana catesbeiana,new,adult,female,52.9,14.25
tuttle pond,2022-06-15,night,"21:58:00","23:32:00","94","22:23:00",rana catesbeiana,new,adult,female,74.0,44.8
tuttle pond,2022-06-15,night,"21:58:00","23:32:00","94","22:37:00",rana clamitans,new,juvenile,unknown,,
tuttle pond,2022-06-15,night,"21:58:00","23:32:00","94","22:47:00",rana catesbeiana,recapture,,,,
tuttle pond,2022-06-15,night,"21:58:00","23:32:00","94","22:50:00",rana catesbeiana,recapture,,,,
tuttle pond,2022-06-15,night,"21:58:00","23:32:00","94","22:55:00",rana catesbeiana,recapture,,,,
tuttle pond,2022-06-15,night,"21:58:00","23:32:00","94","23:01:00",rana catesbeiana,new,adult,female,50.0,20.5
tuttle pond,2022-06-15,night,"21:58:00","23:32:00","94","23:04:00",rana catesbeiana,new,adult,female,61.6,23.89
tuttle pond,2022-06-15,night,"21:58:00","23:32:00","94","23:08:00",rana clamitans,new,juvenile,unknown,,
tuttle pond,2022-06-15,night,"21:58:00","23:32:00","94","23:25:00",rana catesbeiana,new,juvenile,unknown,47.8,14.85
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","21:41:00",rana clamitans,,adult,male,59.3,20.1
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","21:52:00",hyla versicolor,,adult,male,42.7,7.2
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","21:58:00",rana clamitans,,adult,male,,
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","22:06:00",rana catesbeiana,new,juvenile,unknown,60.9,20.2
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","22:10:00",rana clamitans,,adult,female,,
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","22:23:00",rana clamitans,,adult,female,,
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","22:27:00",rana clamitans,,adult,female,,
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","22:31:00",rana catesbeiana,new,juvenile,unknown,50.3,11.95
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","22:37:00",rana clamitans,,adult,female,,
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","22:42:00",rana catesbeiana,new,adult,male,105.9,118.65
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","23:08:00",rana clamitans,,adult,male,,
